# This file is generated on 26-Aug-2022 at 15:50:58 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.5000e+01, 6.9629e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 7.2000e+01, 6.3784e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.0000e+01, 6.0315e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.9000e+01, 5.9174e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.0000e-03, 9.2858e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.0000e-03, 8.1323e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 5.0000e-03, 6.5184e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 8.0000e-03, 5.7052e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 5.3310e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 4.5783e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 3.8095e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 3.1405e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 2.5300e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 2.0190e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 1.6205e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 1.2724e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 9.7591e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 7.7203e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 5.6900e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 4.1900e+00
